Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 400 mg/1 (NDC 60505-5306-1)",New,4/26/2024,"
",Business related decision to discontinue the product,"
","
",Antiviral,To Be Discontinued,"
",4/26/2024,4/26/2024,"
","
","
","
","
","
","
"
Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 400 mg/1 (NDC 60505-5306-8)",New,4/26/2024,"
",Business related decision to discontinue the product,"
","
",Antiviral,To Be Discontinued,"
",4/26/2024,4/26/2024,"
","
","
","
","
","
","
"
Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 800 mg/1 (NDC 60505-5307-1)",New,4/26/2024,"
",Business related decision to discontinue the product,"
","
",Antiviral,To Be Discontinued,"
",4/26/2024,4/26/2024,"
","
","
","
","
","
","
"
Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 800 mg/1 (NDC 60505-5307-5)",New,4/26/2024,"
",Business related decision to discontinue the product,"
","
",Antiviral,To Be Discontinued,"
",4/26/2024,4/26/2024,"
","
","
","
","
","
","
"
"Albuterol Sulfate Powder, Metered","Teva Pharmaceuticals USA, Inc.",800-545-8800,"ProAir Digihaler, Powder, Metered, 90 ug (NDC 59310-117-20)",New,4/30/2024,"
","
","
","
",Pulmonary/Allergy,To Be Discontinued,"
",4/30/2024,4/30/2024,"
","
","
","
","
","
","
"
Albuterol Sulfate Solution,Nephron Pharmaceuticals Corporation,800-443-4313,"Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)",Reverified,2/1/2024,"Product will be made available as it is released, At least 6 months until it is off allocation","
","
",Demand increase for the drug,Pulmonary/Allergy; Pediatric,Current,"
","
",10/25/2022,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-60)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-45)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-15)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 250 ug (NDC 0037-8120-06)",Revised,5/30/2024,Unavailable,Out of stock; Estimated release dates to be determined,"
",Delay in shipping of the drug,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
