Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Abacavir Sulfate (Ziagen) Tablets,GlaxoSmithKline (ViiV Healthcare),888-825-5249,300 mg tablet 60 count (NDC 49702-221-18),New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately January 1, 2024.  Ziagen Oral Solution (49702-222-48) will still be available.","
","
",Antiviral,To be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
Abacavir Sulfate; Lamivudine (Epzicom) Tablets,GlaxoSmithKline (ViiV Healthcare),888-825-5249,600 mg; 300 mg tablets 30 count (NDC 49702-206-13),New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately January 1, 2024.","
","
",Antiviral,To be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
Abacavir Sulfate; Lamivudine; Zidovudine (Trizivir) Tablets,GlaxoSmithKline (ViiV Healthcare),888-825-5249,300 mg; 150 mg; 300 mg tablets 60 count (NDC 49702-217-18),New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately November 27, 2023.","
","
",Antiviral,To be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
Abiraterone Acetate Tablets,"Janssen Research and Development, LLC",800-526-7736,250 mg tablets (NDC 57894-155-12),New,6/5/2020,"
","
","
","
",Oncology,To be Discontinued,"
","
",6/5/2020,"
","
","
","
","
","
","
"
Acetaminophen (Ofirmev) Injection,Mallinckrodt,800-325-8888,"OFIRMEV® (Acetaminophen) Injection 1 g/100 mL (10 mg/mL), (NDC 43825-102-01, 43825-102-03)",New,6/9/2022,"
","
","
","
",Analgesia/Addiction,To be Discontinued,"
","
",6/9/2022,"
","
","
","
","
","
","
"
Acetazolamide Injection,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)",855-228-9470,500 mg (NDC 23155-313-31),Revised,6/17/2022,Available,"
","
","
",Cardiovascular;Ophthalmology,Resolved,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"Mylan Institutional, a Viatris company",800-796-9526,"500 mg, Lyophilisate in Single Dose Vials 1PK (NDC 67457-853-50)",Revised,6/17/2022,Available,"
","
","
",Cardiovascular;Ophthalmology,Resolved,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,500 mg per vial (NDC 0143-9503-01),Revised,6/17/2022,This presentation is temporarily on backorder.,"
","
","
",Cardiovascular;Ophthalmology,Resolved,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"X-GEN Pharmaceuticals, Inc.",866-390-4411,500mg per vial (NDC 39822-0190-1),Revised,6/17/2022,Available,"
","
","
",Cardiovascular;Ophthalmology,Resolved,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetic Acid Otic Solution,Wockhardt Bio A.G.,847-410-6929,"2% 15ml, (NDC 60432-741-15)",New,6/22/2022,"
","
","
","
",Anti-infective,To be Discontinued,"
","
",6/22/2022,"
","
","
","
","
","
","
"
Acrivastine and Pseudoephedrine Hydrochloride Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)",New,6/2/2020,"
","
","
","
",Pulmonary/Allergy,To be Discontinued,"
","
",6/2/2020,"
","
","
","
","
","
","
"
Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,10 mg/0.2 mL pre-filled syringe (NDC 0074-6347-02),New,7/27/2020,"
","
","
","
",Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,"
","
",7/27/2020,"
","
","
","
","
","
","
"
Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,20 mg/0.4 mL pre-filled syringe (NDC 0074-9374-02),New,7/27/2020,"
","
","
","
",Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,"
","
",7/27/2020,"
","
","
","
","
","
","
"
Adefovir Dipivoxil Tablets,"Gilead Sciences, Inc.",800-445-3235,10mg  (NDC 61958-0501-1),New,8/1/2022,"
","
","
","
",Antiviral,To Be Discontinued,8/1/2022,8/1/2022,8/1/2022,"
","
","
","
","
","
","
"
