ApplNo,ProductNo,MarketingStatusID,TECode
017634,4,1,AP
017635,1,1,AT
017641,1,1,AP
017643,1,1,AP
017648,1,1,AP
017648,2,1,AP
017648,5,1,AP
017651,6,1,AP
017656,1,1,AT
017681,1,1,AB
017697,1,1,AP
017765,1,1,AB
017794,1,1,AB
017794,2,1,AB
017794,3,1,AB
017799,1,1,AP
017806,1,1,AP
017808,2,1,AP
017812,1,1,AB
017812,2,1,AB
017812,3,1,AB
017823,1,1,AT
017830,1,1,AB
017849,1,1,AB
017849,2,1,AB
017854,1,1,AB
017854,2,1,AB
017858,1,1,AP
017865,1,1,AT
017866,1,1,AT
017867,1,1,AT
017871,1,1,AB
017874,1,1,AB
017875,1,1,AB
017876,1,1,AB
017881,1,1,
017892,1,1,AB
017892,3,1,AB
017955,1,1,AB
017962,1,1,AB
017962,2,1,AB
017963,1,1,AB
017963,2,1,AB
017989,1,1,AP
018008,5,1,AP
018008,6,1,AP
018008,7,1,AP
018008,8,1,AP
018008,9,1,AP
018008,10,1,AP
018013,1,1,AB
018013,2,1,AB
018013,3,1,AB
018013,4,1,AB
018016,1,1,AP
018027,1,1,AB
018037,1,1,AP
018037,2,1,AP
018037,3,1,AP
018037,4,1,AP
018037,5,1,AP
018037,6,1,AP
018037,7,1,AP
018037,8,1,AP
018037,9,1,AP
018044,1,1,AB
018044,2,1,AB
018057,4,1,AP
018058,1,1,BS
018063,1,1,AB
018063,2,1,AB
018063,5,1,AB
018080,1,1,AP
018086,1,1,AT1
018086,2,1,AT1
018090,1,1,AP
018107,1,1,AP
018124,1,1,AP
018132,1,1,AP
018132,2,1,AP
018132,3,1,AP
018132,4,1,AP
018140,1,1,AP
018140,2,1,AP
018147,2,1,AB
018147,3,1,AB
018150,1,1,AP
018156,1,1,AT
018161,1,1,AT
018163,1,1,AB
018163,2,1,AB
018163,3,1,AB
018163,4,1,AB
018164,3,1,AB
018200,1,1,AB
018225,1,1,AB
018225,2,1,AB
018225,3,1,AB
018227,1,1,AP
018233,1,1,AP
018240,1,1,AB
018240,2,1,AB
018240,4,1,AB
018243,1,1,AP
018243,2,1,AP
018248,1,1,AP
018248,2,1,AP
018251,1,1,AP
018261,1,1,AP
018261,2,1,AP
018264,1,1,AP
018267,1,1,AP
018276,1,1,AB
018276,2,1,AB
018276,3,1,AB
018276,4,1,AB
018279,1,1,AB3
018279,3,1,AB3
018299,1,1,AT
018303,1,1,AB
018304,1,1,AP
018304,2,1,AP
018304,3,1,AP
018304,4,1,AP
018304,5,1,AP
018313,1,1,AT
018314,1,1,AT
018315,1,1,AT
018332,1,1,AB
018333,1,1,AB
018336,1,1,AT
018362,2,1,AP
018362,3,1,AP
018362,5,1,AP
018362,9,1,AP
018362,10,1,AP
018365,1,1,AP
018401,1,1,AP
018415,1,1,AB
018415,2,1,AB
018415,3,1,AB
018422,3,1,AB
018449,1,1,AP
018461,2,1,AP
018461,3,1,AP
018461,4,1,AP
018482,1,1,AB
018484,1,1,AP
018487,1,1,AB
018487,2,1,AB
018494,1,1,AT
018495,1,1,AT
018508,1,1,AT
018511,1,1,AP
018514,1,1,AB1
018523,1,1,AT
018553,1,1,AB
018553,2,1,AB
018553,3,1,AB
018553,4,1,AB
018558,1,1,AB
018561,1,1,AP
018563,1,1,AP
018565,1,1,AP
018565,2,1,AP
018565,3,1,AP
018565,4,1,AP
018569,1,1,AB
018569,2,1,AB
018569,5,1,AB
018578,1,1,AB
018594,1,1,AB
018602,1,1,AB
018602,2,1,AB
018602,3,1,AB
018602,4,1,AB
018604,1,1,AB
018608,1,1,AT
018609,1,1,AP
018609,2,1,AP
018615,1,1,AB
018629,1,1,AP
018629,2,1,AP
018629,3,1,AP
018629,4,1,AP
018629,5,1,AP
018629,6,1,AP
018629,7,1,AP
018629,8,1,AP
018632,1,1,AP
018632,2,1,AP
018642,1,1,AB
018651,1,1,AB
018651,2,1,AB
018651,3,1,AB
018652,1,1,AB
018657,1,1,AP
018659,1,1,AB
018659,2,1,AB
018667,1,1,AP
018671,1,1,AA
018671,2,1,AA
018679,1,1,AB
018681,1,1,AT
018692,1,1,AP
018701,1,1,AO
018701,2,1,AO
018705,2,1,AB
018714,1,1,AB
018716,2,1,AB
018716,3,1,AB
018723,1,1,AB
018723,2,1,AB
018723,3,1,AB
018735,1,1,AP1
018735,2,1,AP
018735,3,1,AP
018735,4,1,AP
018735,6,1,AP2
018735,7,1,AP
018741,1,1,AB
018748,1,1,AB
018751,1,1,AB
018760,1,1,AB
018760,2,1,AB
018800,1,1,AP
018800,2,1,AP
018800,3,1,AP
018801,2,1,AP
018801,3,1,AP
018802,1,1,AP
018803,1,1,AP
018803,2,1,AP
018803,3,1,AP
018810,1,1,AB
018823,1,1,AB
018823,2,1,AB
018826,1,1,AP
018826,2,1,AP
018826,3,1,AP
018827,1,1,AB
018829,1,1,AB
018829,2,1,AB
018832,2,1,AB
018841,4,1,AB
018849,1,1,AT
018859,1,1,AN
018861,1,1,AB
018865,1,1,AB
018866,1,1,AB
018877,1,1,AB
018883,1,1,AT
018883,2,1,AT
018883,3,1,AT
018883,4,1,AT
018883,5,1,AT
018883,6,1,AT
018888,1,1,AB
018890,2,1,AP
018891,1,1,AB
018891,2,1,AB
018891,3,1,AB
018892,1,1,AP
018893,1,1,AP
018893,2,1,AP
018893,3,1,AP
018896,1,1,AP
018897,2,1,AP
018897,3,1,AP
018900,1,1,AP
018902,1,1,AP
018916,10,1,AP
018916,11,1,AP
018921,1,1,AT
018925,1,1,AP
018927,1,1,AB
018936,1,1,AB1
018936,3,1,AB
018936,6,1,AB1
018938,1,1,AP
018948,1,1,AB
018956,3,1,AP
018959,1,1,AP
018960,1,1,AP
018961,1,1,AP
018962,1,1,AP
018963,1,1,AP
018965,1,1,AB
018977,2,1,AB
018983,12,1,AA
018998,1,1,AB
018998,2,1,AB
018998,3,1,AB
018998,5,1,AB
019011,1,1,AA
019022,1,1,AP
019022,2,1,AP
019028,1,1,AT
019034,3,1,AP
019034,4,1,AP
019034,5,1,AP
019034,6,1,AP
019034,7,1,AP
019039,1,1,AP
019044,1,1,AP
019048,1,1,AB
019049,1,1,AB
019050,1,1,AP
019071,1,1,AB
019071,2,1,AB
019071,3,1,AB
019090,1,1,AP
019099,2,1,AP
019099,3,1,AP
019099,4,1,AP
019101,1,1,AP
019115,1,1,AP
019116,1,1,AT
019117,1,1,AB1
019123,1,1,AB2
019123,2,1,AB2
019129,1,1,AB
019129,3,1,AB
019137,1,1,AB
019141,1,1,AB
019152,1,1,AB
019152,3,1,AB
019157,1,1,AA
019183,1,1,AB
019194,1,1,AB
019219,2,1,AT
019221,1,1,AB
019221,3,1,AB
019257,1,1,AA
019257,2,1,AA
019264,1,1,AP
019268,1,1,AB
019268,3,1,AB
019270,1,1,AT
019281,1,1,AP
019308,5,1,AP
019308,7,1,AP
019316,1,1,AP
019316,2,1,AP
019316,3,1,AP
019316,4,1,AP
019339,2,1,AP
019339,3,1,AP
019339,4,1,AP
019353,1,1,AP
019356,1,1,AB
019367,4,1,AP
019367,5,1,AP
019367,6,1,AP
019367,7,1,AP
019367,8,1,AP
019386,4,1,AP
019386,5,1,AP
019386,6,1,AP
019416,1,1,AT
019430,1,1,AB
019430,2,1,AB
019445,1,1,AP
019452,1,1,AT
019452,2,1,AT
019452,3,1,AT
019463,1,1,AT3
019463,2,1,AT3
019465,1,1,AP
019465,2,1,AP
019466,1,1,AP
019479,1,1,AP
019480,1,1,AP
019516,1,1,AB
019516,2,1,AB
019516,3,1,AB
019516,4,1,AB
019516,5,1,AB
019531,2,1,AP
019537,2,1,AB
019537,3,1,AB
019569,1,1,AB
019574,2,1,BX
019594,2,1,AB
019599,2,1,AB
019600,1,1,AB
019603,4,1,AP
019614,1,1,AB
019614,2,1,AB
019614,3,1,AB
019615,1,1,AP
019615,2,1,AP
019615,3,1,AP
019618,1,1,AB
019618,2,1,AB
019626,2,1,AP
019626,4,1,AP
019626,5,1,AP
019627,2,1,AB
019630,8,1,AP
019630,10,1,AP
019630,12,1,AP
019630,14,1,AP
019630,16,1,AP
019630,18,1,AP
019630,20,1,AP
019630,22,1,AP
019630,24,1,AP
019630,26,1,AP
